# Time [us]	PORT_Mip_Volt_DCLink	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
29800	9919	225	34
29900	9893	-530	551
30000	9861	-15	32
30100	9893	128	-97
30200	9867	87	-87
30300	9861	75	-61
30400	9893	38	-20
30500	9848	12	12
30600	9899	-6	23
30700	9874	-24	43
30800	9861	-15	35
30900	9906	19	-4
31000	9867	45	-28
31100	9861	98	-82
31200	9893	138	-121
31300	9867	190	-165
31400	9861	251	-231
31500	9893	7	505
31600	9861	7	25
31700	9893	9	-103
31800	9867	4	-75
31900	9861	0	-47
32000	9893	6	-7
32100	9867	-7	27
32200	9861	9	38
32300	9893	6	63
32400	9854	0	58
32500	9893	9	-7
32600	9893	4	-40
32700	9861	0	-96
32800	9906	16	-145
32900	9867	29	-193
33000	9861	517	16
33100	9893	-51	15
33200	9867	-142	12
33300	9861	-112	0
33400	9880	-80	0
33500	9861	-52	6
33600	9893	-8	-4
33700	9867	8	7
33800	9861	31	0
33900	9899	32	-7
34000	9867	4	6
