# Time [us]	PORT_Mip_Volt_DCLink	PORT_Mip_Acq_Curr_V	PORT_Mip_Acq_Curr_W
30100	9867	4	-37
30200	9861	8	0
30300	9893	9	18
30400	9867	4	52
30500	9861	7	58
30600	9893	6	47
30700	9867	0	6
30800	9861	12	-51
30900	9893	8	-97
31000	9848	12	-140
31100	9861	38	-208
31200	9919	515	24
31300	9861	-29	16
31400	9919	-135	0
31500	9867	-116	8
31600	9861	-73	0
31700	9893	-38	0
31800	9867	-20	7
31900	9861	17	0
32000	9893	29	0
32100	9854	31	9
32200	9861	9	0
32300	9880	-28	0
32400	9861	-66	3
32500	9919	-109	1
32600	9867	-155	8
32700	9861	-190	0
32800	9919	-257	0
32900	9848	501	-498
33000	9861	51	-57
33100	9880	-94	95
33200	9861	-78	77
33300	9906	-41	37
33400	9867	-15	16
33500	9861	12	-16
33600	9899	33	-39
33700	9867	37	-38
33800	9861	27	-25
33900	9906	-12	15
34000	9867	-58	59
